,Reporting Period,Utility,Accounts,Accounts Disconnected,Account Disconnection Rate,Accounts Disconnected between 24 and 48 Hours,Accounts Reconnected in <24 Hours,Accounts Disconnected for >48 Hours,Accounts Disconnected Multiple Times,Accounts Notified Before Disconnection,Accounts in 30+ Day Arrears,Accounts in 30-60 Day Arrears,Accounts in 60+ Day Arrears,Percentage of Accounts in 30-60 Day Arrears,Percentage of Accounts in 60+ Day Arrears,Percentage of Accounts in 30+ Day Arrears,Average Balance of 30-60 Day Arrears,Average Balance of 60+ Day Arrears,Average Balance of 30+ Day Arrears,Total Balance of 30+ Day Arrears,Total Balance of 30-60 Day Arrears,Total Balance of 60+ Day Arrears,Accounts Past Due or Delinquent,Percentage of Accounts Past Due or Delinquent,Accounts on Repayment Plans,Accounts in Good Standing on Repayment Plans,Average Balance of Repayment Plans,Total Balance of Repayment Plans,Vulnerable Accounts,Vulnerable Accounts Disconnected
66,2022-10-01,Duke Energy Carolinas,1840924.0,5842.0,0.0031734063980913,107.0,282.0,326.0,3133.0,74271.0,358690.0,162593.0,196097.0,0.0883214081624227,0.1065209644721889,0.1948423726346117,234.6084271770617,447.4613635088757,350.97582592210546,125891519.0,38145688.0,87745831.0,358690.0,0.1948423726346117,68284.0,,800.6004774178431,54668203.0,,
67,2022-10-01,Duke Energy Progress,1297190.0,3139.0,0.0024198459747608,47.0,181.0,177.0,1014.0,41503.0,221689.0,99424.0,122265.0,0.0766456725691687,0.0942537330691725,0.1708994056383413,289.7112668973286,501.8872122030017,406.7296663343693,90167493.0,28804253.0,61363240.0,221689.0,0.1708994056383413,44446.0,,859.146537371192,38185627.0,,
68,2022-10-01,Dominion Energy,106671.0,162.0,0.0015186883032876,3.0,43.0,116.0,25.0,6722.0,19765.0,12114.0,7651.0,0.1135641364569564,0.0717252111632964,0.1852893476202529,842.6251667492157,1050.931405045092,923.2601796104224,18248237.45,10207561.27,8040676.18,19713.0,0.1848018674241359,5510.0,,931.3375789473685,5131670.06,0.0,0.0
69,2022-09-01,Duke Energy Carolinas,1838267.0,6727.0,0.0036594248822396,110.0,331.0,372.0,2311.0,66700.0,370113.0,149831.0,220282.0,0.0815066581731598,0.1198313411490278,0.2013379993221876,242.91262155361707,435.3654996776859,357.45576080818563,132299024.0,36395841.0,95903183.0,370113.0,0.2013379993221876,65433.0,,782.3262115446335,51189951.0,,
70,2022-09-01,Dominion Energy,106688.0,101.0,0.0009466856628674,4.0,49.0,48.0,39.0,6962.0,18841.0,11054.0,7787.0,0.1036105278944211,0.0729885272945411,0.1765990551889622,944.749019359508,1113.4315602927957,1014.4656451356084,19113547.22,10443255.66,8670291.56,19698.0,0.1846318236352729,5560.0,,991.5559316546764,5513050.98,0.0,0.0
71,2022-09-01,Duke Energy Progress,1294840.0,3472.0,0.0026814123752741,43.0,142.0,193.0,540.0,36088.0,229400.0,93798.0,135602.0,0.0724398381267183,0.1047249080967532,0.1771647462234716,306.3866926800145,480.64349345879856,409.3926678291194,93914678.0,28738459.0,65176219.0,229400.0,0.1771647462234716,42525.0,,838.9495825984715,35676331.0,,
72,2022-08-01,Duke Energy Carolinas,1835035.0,7984.0,0.0043508706918396,164.0,371.0,448.0,2175.0,69357.0,397565.0,198881.0,198684.0,0.1083799491562831,0.1082725942556954,0.2166525434119785,233.10236774754756,453.6785146262407,343.3357916315572,136498294.0,46359632.0,90138662.0,397565.0,0.2166525434119785,66397.0,,788.1595102188352,52331427.0,,
73,2022-08-01,Duke Energy Progress,1293295.0,4600.0,0.0035568064517376,90.0,211.0,227.0,247.0,37828.0,245164.0,123544.0,121620.0,0.095526542668146,0.0940388697087671,0.1895654123769132,288.48033089425627,494.3937674724552,390.62906462612784,95768184.0,35640014.0,60128170.0,245164.0,0.1895654123769132,43722.0,,843.8763322812314,36895961.0,,
74,2022-08-01,Dominion Energy,106527.0,98.0,0.0009199545655092,50.0,53.0,50.0,8.0,7425.0,19588.0,11249.0,8339.0,0.105597641912379,0.0782806236916462,0.1838782656040252,1141.8127273535426,1127.6549430387338,1135.7854778435778,22247765.94,12844251.37,9403514.57,18050.0,0.1694406113004214,5371.0,,982.1615006516478,5275189.42,0.0,0.0
75,2022-07-01,Duke Energy Carolinas,1832116.0,6026.0,0.0032890930486934,,2329.0,,,,,,,,,,,,,,,,357873.0,0.1953331557608797,67989.0,67989.0,775.3775610760564,52717145.0,,
76,2022-07-01,Duke Energy Progress,1291000.0,3421.0,0.0026498838109992,,1259.0,,,,,,,,,,,,,,,,218757.0,0.1694477149496514,44678.0,44678.0,803.0528895653341,35878797.0,,
77,2022-07-01,Dominion Energy,106468.0,98.0,0.0009204643648795,,39.0,,,,,,,,,,,,,,,,17678.0,0.1660405004320547,5561.0,5561.0,1075.5856500629384,5981331.8,,
78,2022-06-01,Dominion Energy,106419.0,100.0,0.0009396818237344,,2.0,,,,,,,,,,,,,,,,17552.0,0.1649329537018765,7005.0,7005.0,1352.653693076374,9475339.12,,
79,2022-06-01,Duke Energy Carolinas,1830078.0,6207.0,0.0033916587161858,,2660.0,,,,,,,,,,,,,,,,354138.0,0.1935097848288433,73108.0,73108.0,775.2774115007934,56678981.0,,
80,2022-06-01,Duke Energy Progress,1289697.0,3422.0,0.0026533364038219,,1334.0,,,,,,,,,,,,,,,,215406.0,0.1670206257748913,47396.0,47396.0,781.9102666891721,37059419.0,,
